source_ko	title_en
주요사항보고서(무상증자결정)	Material Event Report (Bonus Issue Decision)
주요사항보고서(분할(분할합병)결정)	Material Event Report (Decision on Spin-Off or Split-Off Merger)
주요사항보고서(소송등의제기)	Material Event Report (Filing of Litigation or Similar Proceeding)
주요사항보고서(신주인수권부사채권발행결정)	Material Event Report (Decision to Issue Bonds with Warrants)
주요사항보고서(유무상증자결정)	Material Event Report (Decision on Capital Increase With and Without Consideration)
주요사항보고서(유상증자결정)	Material Event Report (Capital Increase with Consideration Decision)
주요사항보고서(유상증자결정)(자회사의 주요경영사항) (주주배정후 실권주 일반공모)	Material Event Report (Capital Increase with Consideration Decision; Material Management Matter of a Subsidiary; Public Offering of Unsubscribed Shares after Shareholder Allocation)
주요사항보고서(유형자산양도결정)	Material Event Report (Decision to Transfer Tangible Assets)
주요사항보고서(유형자산양수결정)	Material Event Report (Decision to Acquire Tangible Assets)
주요사항보고서(자기주식처분결정)(자회사의 주요경영사항)(SK이노베이션)	Material Event Report (Decision to Dispose of Treasury Shares; Material Management Matter of Subsidiary SK Innovation)
주요사항보고서(자기주식처분결정)(자회사의 주요경영사항)(SK텔레콤)	Material Event Report (Decision to Dispose of Treasury Shares; Material Management Matter of Subsidiary SK Telecom)
주요사항보고서(자기주식처분결정)(자회사의 주요경영사항)(메리츠증권)	Material Event Report (Decision to Dispose of Treasury Shares; Material Management Matter of Subsidiary Meritz Securities)
주요사항보고서(자기주식취득신탁계약해지결정)(자회사의 주요경영사항)(메리츠증권)	Material Event Report (Decision to Terminate a Treasury Share Trust Agreement; Material Management Matter of Subsidiary Meritz Securities)
주요사항보고서(자본으로인정되는채무증권발행결정)	Material Event Report (Decision to Issue Debt Securities Recognized as Capital)
주요사항보고서(전환사채권발행결정)(자회사의 주요경영사항)(제5회차)	Material Event Report (Decision to Issue Convertible Bonds; Material Management Matter of a Subsidiary; Series 5)
주요사항보고서(중요한영업양수도결정)	Material Event Report (Decision on Transfer or Acquisition of a Material Business)
주요사항보고서(중요한자산양수도결정(기타))	Material Event Report (Decision on Transfer or Acquisition of Material Assets: Other)
주요사항보고서(해산사유발생)	Material Event Report (Occurrence of Grounds for Dissolution)
주요사항보고서(해외증권시장주권등상장)	Material Event Report (Listing of Shares or Similar Securities on an Overseas Securities Market)
주요사항보고서(해외증권시장주권등상장결정)	Material Event Report (Decision to List Shares or Similar Securities on an Overseas Securities Market)
주요사항보고서(해외증권시장주권등상장폐지)	Material Event Report (Delisting of Shares or Similar Securities from an Overseas Securities Market)
주요사항보고서(해외증권시장주권등상장폐지결정)	Material Event Report (Decision to Delist Shares or Similar Securities from an Overseas Securities Market)
주요사항보고서(회사합병결정)(자회사의 주요경영사항) (소규모합병)	Material Event Report (Company Merger Decision; Material Management Matter of a Subsidiary; Small-Scale Merger)
주요주주변경	Change of Major Shareholder
주주총회소집결의 (임시주주총회)	Resolution to Convene an Extraordinary General Meeting of Shareholders
주주총회소집결의 (정기주주총회)	Resolution to Convene an Annual General Meeting of Shareholders
주주총회소집결의(임시주주총회)	Resolution to Convene an Extraordinary General Meeting of Shareholders
주주총회특별결의에의한주식매수선택권부여	Grant of Stock Options by Special Resolution of the General Meeting of Shareholders
주총결의사항에관한주주총회결정	Decision to Convene a General Meeting Regarding Shareholder Resolutions
중대재해발생	Occurrence of a Serious Accident
증권관련집단소송관련소취하등허가신청에대한결정	Decision on Application for Permission to Withdraw or Otherwise Resolve a Securities-Related Class Action
증권관련집단소송의제기ㆍ소송허가신청	Filing of a Securities-Related Class Action and Application for Litigation Permission
증권관련집단소송의제기ㆍ소송허가신청(거래소공시)	Filing of a Securities-Related Class Action and Application for Litigation Permission (Exchange Disclosure)
증권관련집단소송의제기ㆍ소송허가신청(거래소공시) (자회사 한국투자증권(주))	Filing of a Securities-Related Class Action and Application for Litigation Permission (Exchange Disclosure; Subsidiary Korea Investment & Securities Co., Ltd.)
증권대여결정	Decision to Lend Securities
증권발행결과	Securities Issuance Results
증권발행결과(자율공시) (제38회차 CB)	Securities Issuance Results (Voluntary Disclosure; Series 38 Convertible Bonds)
증권발행결과(자율공시) (제39회)	Securities Issuance Results (Voluntary Disclosure; Series 39)
증권발행결과(자율공시)(국내사모 CB)	Securities Issuance Results (Voluntary Disclosure; Domestic Private Placement Convertible Bonds)
증권발행결과(자율공시)(에이치엘비(주) 제35회 무기명식 무보증 사모 비분리형 신주인수권부사채)	Securities Issuance Results (Voluntary Disclosure; HLB Co., Ltd. Series 35 Bearer Unsecured Private Placement Non-Separable Bonds with Warrants)
증권발행결과(자율공시)(제18회차EB)	Securities Issuance Results (Voluntary Disclosure; Series 18 Exchangeable Bonds)
증권발행결과(자율공시)(제21회차 국내사모 BW)	Securities Issuance Results (Voluntary Disclosure; Series 21 Domestic Private Placement Bonds with Warrants)
증권발행결과(자율공시)(제22회차 국내사모 CB)	Securities Issuance Results (Voluntary Disclosure; Series 22 Domestic Private Placement Convertible Bonds)
증권발행결과(자율공시)(제24회 국내사모 전환사채)	Securities Issuance Results (Voluntary Disclosure; Series 24 Domestic Private Placement Convertible Bonds)
증권발행결과(자율공시)(제25회차 CB)	Securities Issuance Results (Voluntary Disclosure; Series 25 Convertible Bonds)
증권발행결과(자율공시)(제26회차 CB)	Securities Issuance Results (Voluntary Disclosure; Series 26 Convertible Bonds)
증권발행결과(자율공시)(제27회차 교환사채)	Securities Issuance Results (Voluntary Disclosure; Series 27 Exchangeable Bonds)
증권발행결과(자율공시)(제31회차 CB)	Securities Issuance Results (Voluntary Disclosure; Series 31 Convertible Bonds)
증권발행결과(자율공시)(제32회차 CB)	Securities Issuance Results (Voluntary Disclosure; Series 32 Convertible Bonds)
증권발행결과(자율공시)(제33회차 CB)	Securities Issuance Results (Voluntary Disclosure; Series 33 Convertible Bonds)
증권발행결과(자율공시)(제36회차 CB)	Securities Issuance Results (Voluntary Disclosure; Series 36 Convertible Bonds)
증권발행결과(자율공시)(제37회차 BW)	Securities Issuance Results (Voluntary Disclosure; Series 37 Bonds with Warrants)
증권발행결과(자율공시)(제3자배정 유상증자)	Securities Issuance Results (Voluntary Disclosure; Third-Party Allotment Capital Increase with Consideration)
증권발행결과(자율공시)(주주배정 유상증자)	Securities Issuance Results (Voluntary Disclosure; Shareholder-Allotted Capital Increase with Consideration)
증권예탁증권(DR)발행결정	Decision to Issue Depositary Receipts (DRs)
증여	Gift
지배회사의주요종속회사탈퇴	Removal of a Major Subsidiary of the Controlling Company
지주회사의연결재무제표에대한감사보고서	Audit Report on the Holding Company's Consolidated Financial Statements
지주회사의자회사편입ㆍ탈퇴	Addition or Removal of a Subsidiary of a Holding Company
집중투표제도도입ㆍ배제결정	Decision to Adopt or Exclude Cumulative Voting
차입계약체결	Execution of a Borrowing Agreement
채권금융기관공동관리해제	Termination of Joint Management by Creditor Financial Institutions
채권은행등의관리절차개시(기업구조조정촉진법에해당하지않는경우)	Commencement of Management Proceedings by Creditor Banks or Similar Institutions (Not Subject to the Corporate Restructuring Promotion Act)
채권은행등의관리절차개시신청	Application to Commence Management Proceedings by Creditor Banks or Similar Institutions
채권은행등의관리절차해제	Termination of Management Proceedings by Creditor Banks or Similar Institutions
채무면제결정	Decision to Forgive Debt
채무인수결정	Decision to Assume Debt
철회신고서	Withdrawal Statement
최근사업연도대비경상손실의100분의30이상(대규모법인의경우100분의15이상)감소사실	Decrease of 30% or More in Ordinary Loss Compared with the Latest Fiscal Year (15% or More for Large Corporations)
최근사업연도대비경상손실의100분의30이상(대규모법인의경우100분의15이상)증가사실	Increase of 30% or More in Ordinary Loss Compared with the Latest Fiscal Year (15% or More for Large Corporations)
최근사업연도대비경상손익의100분의30이상(대규모법인의경우100분의15이상)감소사실	Decrease of 30% or More in Ordinary Profit or Loss Compared with the Latest Fiscal Year (15% or More for Large Corporations)
최근사업연도대비경상손익의100분의30이상(대규모법인의경우100분의15이상)증가사실	Increase of 30% or More in Ordinary Profit or Loss Compared with the Latest Fiscal Year (15% or More for Large Corporations)
최근사업연도대비경상이익의100분의30이상(대규모법인의경우100분의15이상)감소사실	Decrease of 30% or More in Ordinary Profit Compared with the Latest Fiscal Year (15% or More for Large Corporations)
최근사업연도대비당기순손실의100분의30이상(대규모법인의경우100분의15이상)감소사실	Decrease of 30% or More in Net Loss Compared with the Latest Fiscal Year (15% or More for Large Corporations)
최근사업연도대비당기순손실의100분의30이상(대규모법인의경우100분의15이상)증가사실	Increase of 30% or More in Net Loss Compared with the Latest Fiscal Year (15% or More for Large Corporations)
최근사업연도대비당기순손익의100분의30이상(대규모법인의경우100분의15이상)감소사실	Decrease of 30% or More in Net Profit or Loss Compared with the Latest Fiscal Year (15% or More for Large Corporations)
최근사업연도대비당기순손익의100분의30이상(대규모법인의경우100분의15이상)증가사실	Increase of 30% or More in Net Profit or Loss Compared with the Latest Fiscal Year (15% or More for Large Corporations)
최근사업연도대비당기순이익의100분의30이상(대규모법인의경우100분의15이상)감소사실	Decrease of 30% or More in Net Profit Compared with the Latest Fiscal Year (15% or More for Large Corporations)
최근사업연도대비매출액의100분의10이상(대규모법인의경우100분의5이상)감소사실	Decrease of 10% or More in Revenue Compared with the Latest Fiscal Year (5% or More for Large Corporations)
최근사업연도대비배당액의100분의20이상(대규모법인의경우100분의10이상)감소사실	Decrease of 20% or More in Dividends Compared with the Latest Fiscal Year (10% or More for Large Corporations)
최근사업연도대비배당액의100분의20이상(대규모법인의경우100분의10이상)증가사실	Increase of 20% or More in Dividends Compared with the Latest Fiscal Year (10% or More for Large Corporations)
최대주주등과의거래	Transaction with the Largest Shareholder or Related Parties
최대주주등과의기타거래	Other Transaction with the Largest Shareholder or Related Parties
최대주주등과의부동산매도	Sale of Real Estate to the Largest Shareholder or Related Parties
최대주주등과의부동산매수	Purchase of Real Estate from the Largest Shareholder or Related Parties
최대주주등과의영업양도	Transfer of Business to the Largest Shareholder or Related Parties
최대주주등과의영업양수	Acquisition of Business from the Largest Shareholder or Related Parties
최대주주등과의유가증권매도	Sale of Securities to the Largest Shareholder or Related Parties
최대주주등과의유가증권매수	Purchase of Securities from the Largest Shareholder or Related Parties
최대주주등과의자산양도	Transfer of Assets to the Largest Shareholder or Related Parties
최대주주등과의자산양수	Acquisition of Assets from the Largest Shareholder or Related Parties
최대주주등과의장기공급계약체결	Execution of a Long-Term Supply Agreement with the Largest Shareholder or Related Parties
최대주주등소유주식변동신고서(최대주주등소유주식변동신고서)	Report on Changes in Shares Held by the Largest Shareholder or Related Parties
최대주주등에게출자한지분의처분	Disposal of Equity Interests Invested in the Largest Shareholder or Related Parties
최대주주등에대한금전가지급및금전ㆍ유가증권대여	Advance Payment and Lending of Money or Securities to the Largest Shareholder or Related Parties
최대주주등에대한부동산매도	Sale of Real Estate to the Largest Shareholder or Related Parties
최대주주등에대한영업양도	Transfer of Business to the Largest Shareholder or Related Parties
최대주주등에대한자산양도	Transfer of Assets to the Largest Shareholder or Related Parties
최대주주등에대한출자지분의처분	Disposal of Equity Interests Held in the Largest Shareholder or Related Parties
최대주주등으로부터부동산매수	Purchase of Real Estate from the Largest Shareholder or Related Parties
최대주주등으로부터영업양수	Acquisition of Business from the Largest Shareholder or Related Parties
최대주주등으로부터자산양수	Acquisition of Assets from the Largest Shareholder or Related Parties
최대주주등을위한금전의대여	Lending of Money for the Largest Shareholder or Related Parties
최대주주등을위한담보제공	Provision of Collateral for the Largest Shareholder or Related Parties
최대주주등의주식보유변동	Change in Shareholdings of the Largest Shareholder or Related Parties
최대주주또는주요주주변경	Change of the Largest Shareholder or a Major Shareholder
최대주주변경을수반하는주식담보제공계약체결	Execution of a Share Pledge Agreement Accompanying a Change of the Largest Shareholder
최대주주변경을수반하는주식담보제공계약해제ㆍ취소등	Release, Cancellation, or Similar Action Regarding a Share Pledge Agreement Accompanying a Change of the Largest Shareholder
최대주주의주식보유현황등소유지배구조관련현황	Ownership and Control Structure, Including Shareholdings of the Largest Shareholder
출자법인부도ㆍ해산사유등발생	Occurrence of Default, Grounds for Dissolution, or Similar Event at an Investee Company
출자법인의부도등발생	Occurrence of Default or Similar Event at an Investee Company
출자법인의분할ㆍ분할합병	Spin-Off or Split-Off Merger of an Investee Company
출자법인의영업양도결정	Decision by an Investee Company to Transfer a Business
출자법인의영업양수결정	Decision by an Investee Company to Acquire a Business
출자법인의합병	Merger of an Investee Company
출자법인의해산사유발생	Occurrence of Grounds for Dissolution at an Investee Company
출자법인회생절차및파산관련결정	Decision Concerning Rehabilitation or Bankruptcy Proceedings of an Investee Company
출자법인회생절차및파산관련신청	Application Concerning Rehabilitation or Bankruptcy Proceedings of an Investee Company
출자비상장법인부도등발생	Occurrence of Default or Similar Event at an Unlisted Investee Company
출자비상장법인회생절차개시등결정	Decision to Commence Rehabilitation Proceedings or Similar Action at an Unlisted Investee Company
출자상호저축은행분기재무제표확정	Finalization of Quarterly Financial Statements of an Investee Mutual Savings Bank
타법인주식및출자증권양도결정	Decision to Transfer Shares or Equity Securities of Another Company
타법인주식및출자증권취득결정(자율공시)(인니 바얀리소스사 지분인수를 통한 유연탄 확보)	Decision to Acquire Shares or Equity Securities of Another Company (Voluntary Disclosure; Securing Bituminous Coal through Acquisition of an Equity Interest in Indonesia's Bayan Resources)
타법인주식및출자증권취득결정(자율공시)(인도네시아 담배회사 인수보도에 대한 조회공시 답변)	Decision to Acquire Shares or Equity Securities of Another Company (Voluntary Disclosure; Response to Inquiry Regarding Reports of an Indonesian Tobacco Company Acquisition)
타법인주식및출자증권취득결정(자회사의 주요경영사항)(SK이노베이션의 자회사인 SK루브리컨츠의 공시 내용임)	Decision to Acquire Shares or Equity Securities of Another Company (Material Management Matter of SK Innovation Subsidiary SK Lubricants)
타법인주식및출자증권취득결정(자회사의 주요경영사항)(SK이노베이션의 자회사인 SK종합화학의 공시사항임)	Decision to Acquire Shares or Equity Securities of Another Company (Material Management Matter of SK Innovation Subsidiary SK Global Chemical)
타법인주식및출자증권취득결정(자회사의 주요경영사항)(에스케이온)	Decision to Acquire Shares or Equity Securities of Another Company (Material Management Matter of Subsidiary SK On)
타법인주식및출자증권취득결정(자회사의 주요경영사항)(자회사인 SK종합화학의 수시공시 사항임)	Decision to Acquire Shares or Equity Securities of Another Company (Ad Hoc Disclosure by Subsidiary SK Global Chemical)
타법인주식및출자증권취득결정(자회사의 주요경영사항)(주요 자회사인 SK종합화학의 공시사항임)	Decision to Acquire Shares or Equity Securities of Another Company (Disclosure by Major Subsidiary SK Global Chemical)
타법인주식및출자증권취득결정(종속회사의주요경영사항)(LG Energy Solution Michigan)	Decision to Acquire Shares or Equity Securities of Another Company (Material Management Matter of Subsidiary LG Energy Solution Michigan)
타법인주식의처분	Disposal of Shares in Another Company
타법인주식의취득	Acquisition of Shares in Another Company
타법인출자(주식및주식관련유가증권의취득)	Investment in Another Company (Acquisition of Shares and Share-Related Securities)
타인에대한금전대여결정	Decision to Lend Money to Another Party
타인에대한담보제공결정	Decision to Provide Collateral for Another Party
타인에대한채무면제결정	Decision to Forgive Another Party's Debt
타인을위한채무보증결정	Decision to Provide a Debt Guarantee for Another Party
투자설명서	Investment Prospectus
투자유의안내	Investor Caution Notice
투자유의안내(1우선주 관리종목지정 우려예고)	Investor Caution Notice (Advance Notice of Potential Administrative Issue Designation for First Preferred Shares)
투자유의안내(1우선주 상장주식수 미달 관련)	Investor Caution Notice (Insufficient Number of Listed First Preferred Shares)
투자유의안내(관리종목 지정 우려)	Investor Caution Notice (Potential Administrative Issue Designation)
투자유의안내(기아자동차 1WR 상장폐지 예고)	Investor Caution Notice (Advance Notice of Delisting of Kia Motors 1WR)
투자유의안내(두산중공업 1WR의 신주인수권 행사기간 만료 및 상장폐지 예고)	Investor Caution Notice (Expiration of Warrant Exercise Period and Advance Notice of Delisting of Doosan Heavy Industries 1WR)
투자유의안내(두산중공업 2WR의 신주인수권 행사기간 만료 및 상장폐지 예고)	Investor Caution Notice (Expiration of Warrant Exercise Period and Advance Notice of Delisting of Doosan Heavy Industries 2WR)
투자유의안내(삼성중공업(주) 1우선주 상장폐지 우려 예고)	Investor Caution Notice (Advance Notice of Potential Delisting of Samsung Heavy Industries Co., Ltd. First Preferred Shares)
투자유의안내(현대모비스1우선주 관리종목 지정우려)	Investor Caution Notice (Potential Administrative Issue Designation for Hyundai Mobis First Preferred Shares)
투자유의안내(현대모비스1우선주 관리종목지정 우려)	Investor Caution Notice (Potential Administrative Issue Designation for Hyundai Mobis First Preferred Shares)
투자유의안내(현대모비스1우선주 상장폐지 우려)	Investor Caution Notice (Potential Delisting of Hyundai Mobis First Preferred Shares)
투자유의안내(현대상선 1WR의 신주인수권행사기간 만료 및 상장폐지 예고)	Investor Caution Notice (Expiration of Warrant Exercise Period and Advance Notice of Delisting of Hyundai Merchant Marine 1WR)
투자판단관련주요경영사항 (ALT-B4 관련 마일스톤 기술료 수령)	Material Management Matter Related to Investment Decisions (Receipt of Milestone Payment Related to ALT-B4)
투자판단관련주요경영사항 (ALT-BB4(Tergase)테르가제주 품목 허가 승인)	Material Management Matter Related to Investment Decisions (Marketing Authorization Approval for ALT-BB4 Tergase Injection)
투자판단관련주요경영사항 (ALTB4 라이선스 계약 관련 마일스톤 기술료 수령)	Material Management Matter Related to Investment Decisions (Receipt of Milestone Payment under the ALT-B4 License Agreement)
투자판단관련주요경영사항 (CT-P13 SC(램시마 피하주사 제형) 유럽 임상 3상 시험계획 신청(Part 1) (궤양성 대장염 소아 환자))	Material Management Matter Related to Investment Decisions (European Phase 3 Clinical Trial Application, Part 1, for CT-P13 SC, Subcutaneous Remsima, in Pediatric Ulcerative Colitis Patients)
투자판단관련주요경영사항 (CT-P13 SC(램시마 피하주사 제형) 유럽 임상 3상 시험계획 신청(Part 1) (크론병 소아 환자))	Material Management Matter Related to Investment Decisions (European Phase 3 Clinical Trial Application, Part 1, for CT-P13 SC, Subcutaneous Remsima, in Pediatric Crohn's Disease Patients)
투자판단관련주요경영사항 (CT-P13 SC램시마 피하주사 제형 유럽 임상 3상 시험계획 승인Part 1 궤양성 대장염 소아 환자)	Material Management Matter Related to Investment Decisions (European Phase 3 Clinical Trial Authorization, Part 1, for CT-P13 SC, Subcutaneous Remsima, in Pediatric Ulcerative Colitis Patients)
투자판단관련주요경영사항 (CT-P13 SC램시마 피하주사 제형 유럽 임상 3상 시험계획 승인Part 1 크론병 소아 환자)	Material Management Matter Related to Investment Decisions (European Phase 3 Clinical Trial Authorization, Part 1, for CT-P13 SC, Subcutaneous Remsima, in Pediatric Crohn's Disease Patients)
투자판단관련주요경영사항 (CT-P13 SC짐펜트라 미국 임상 3상 시험계획 신청 류마티스 관절염 환자)	Material Management Matter Related to Investment Decisions (U.S. Phase 3 Clinical Trial Application for CT-P13 SC Zymfentra in Rheumatoid Arthritis Patients)
투자판단관련주요경영사항 (CT-P39(졸레어 바이오시밀러) 미국 품목허가 신청)	Material Management Matter Related to Investment Decisions (U.S. Marketing Authorization Application for CT-P39, a Xolair Biosimilar)
투자판단관련주요경영사항 (CT-P39(졸레어 바이오시밀러) 유럽의약품청(EMA) 산하 약물사용자문위원회(CHMP) 판매 승인 권고 획득)	Material Management Matter Related to Investment Decisions (CHMP Recommendation for Marketing Authorization of CT-P39, a Xolair Biosimilar)
투자판단관련주요경영사항 (CT-P41(프롤리아&엑스지바 바이오시밀러) 유럽 품목허가 신청)	Material Management Matter Related to Investment Decisions (European Marketing Authorization Application for CT-P41, a Prolia and Xgeva Biosimilar)
투자판단관련주요경영사항 (CT-P43스텔라라 바이오시밀러 유럽의약품청EMA 산하 약물사용자문위원회CHMP 판매 승인 권고 획득)	Material Management Matter Related to Investment Decisions (CHMP Recommendation for Marketing Authorization of CT-P43, a Stelara Biosimilar)
투자판단관련주요경영사항 (CT-P47(로악템라 바이오시밀러) 유럽 품목허가 신청)	Material Management Matter Related to Investment Decisions (European Marketing Authorization Application for CT-P47, a RoActemra Biosimilar)
투자판단관련주요경영사항 (CT-P47(악템라 바이오시밀러) 한국 품목허가 신청)	Material Management Matter Related to Investment Decisions (Korean Marketing Authorization Application for CT-P47, an Actemra Biosimilar)
투자판단관련주요경영사항 (CT-P51키트루다 바이오시밀러 미국 임상 3상 시험계획 신청)	Material Management Matter Related to Investment Decisions (U.S. Phase 3 Clinical Trial Application for CT-P51, a Keytruda Biosimilar)
투자판단관련주요경영사항 (CT-P55코센틱스 바이오시밀러 미국 임상 3상 시험계획 신청)	Material Management Matter Related to Investment Decisions (U.S. Phase 3 Clinical Trial Application for CT-P55, a Cosentyx Biosimilar)
투자판단관련주요경영사항 (CTP13 SC(램시마 피하주사 제형) 한국 임상 3상 시험계획 승인(궤양성 대장염 소아 환자))	Material Management Matter Related to Investment Decisions (Korean Phase 3 Clinical Trial Authorization for CT-P13 SC, Subcutaneous Remsima, in Pediatric Ulcerative Colitis Patients)
투자판단관련주요경영사항 (CTP13 SC(램시마 피하주사 제형) 한국 임상 3상 시험계획 승인(크론병 소아 환자))	Material Management Matter Related to Investment Decisions (Korean Phase 3 Clinical Trial Authorization for CT-P13 SC, Subcutaneous Remsima, in Pediatric Crohn's Disease Patients)
투자판단관련주요경영사항 (CTP13 SC(램시마 피하주사 제형) 한국 임상 3상 시험계획 신청 (궤양성 대장염 소아 환자))	Material Management Matter Related to Investment Decisions (Korean Phase 3 Clinical Trial Application for CT-P13 SC, Subcutaneous Remsima, in Pediatric Ulcerative Colitis Patients)
투자판단관련주요경영사항 (CTP13 SC(램시마 피하주사 제형) 한국 임상 3상 시험계획 신청 (크론병 소아 환자))	Material Management Matter Related to Investment Decisions (Korean Phase 3 Clinical Trial Application for CT-P13 SC, Subcutaneous Remsima, in Pediatric Crohn's Disease Patients)
투자판단관련주요경영사항 (CTP13 SC(짐펜트라) 미국 임상 3상 시험계획 승인 (류마티스 관절염 환자))	Material Management Matter Related to Investment Decisions (U.S. Phase 3 Clinical Trial Authorization for CT-P13 SC Zymfentra in Rheumatoid Arthritis Patients)
투자판단관련주요경영사항 (CTP13 SC(짐펜트라) 미국 임상 3상 시험계획 신청 (류마티스 관절염 환자))	Material Management Matter Related to Investment Decisions (U.S. Phase 3 Clinical Trial Application for CT-P13 SC Zymfentra in Rheumatoid Arthritis Patients)
투자판단관련주요경영사항 (CTP13 SC(짐펜트라) 유럽 임상 3상 시험계획 승인(Part1&2) (류마티스 관절염 환자))	Material Management Matter Related to Investment Decisions (European Phase 3 Clinical Trial Authorization, Parts 1 and 2, for CT-P13 SC Zymfentra in Rheumatoid Arthritis Patients)
투자판단관련주요경영사항 (CTP13 SC(짐펜트라) 유럽 임상 3상 시험계획 신청(Part1&2) (류마티스 관절염 환자))	Material Management Matter Related to Investment Decisions (European Phase 3 Clinical Trial Application, Parts 1 and 2, for CT-P13 SC Zymfentra in Rheumatoid Arthritis Patients)
투자판단관련주요경영사항 (CTP13 SC(짐펜트라) 한국 임상 3상 시험계획 신청(류마티스 관절염 환자))	Material Management Matter Related to Investment Decisions (Korean Phase 3 Clinical Trial Application for CT-P13 SC Zymfentra in Rheumatoid Arthritis Patients)
투자판단관련주요경영사항 (CTP41(프롤리아&엑스지바 바이오시밀러) 유럽의약품청(EMA) 산하 약물사용자문위원회(CHMP) 판매 승인 권고 획득)	Material Management Matter Related to Investment Decisions (CHMP Recommendation for Marketing Authorization of CT-P41, a Prolia and Xgeva Biosimilar)
투자판단관련주요경영사항 (CTP42(아일리아 바이오시밀러) 유럽의약품청(EMA) 산하 약물사용자문위원회(CHMP) 판매 승인 권고 획득)	Material Management Matter Related to Investment Decisions (CHMP Recommendation for Marketing Authorization of CT-P42, an Eylea Biosimilar)
투자판단관련주요경영사항 (CTP44(다잘렉스 바이오시밀러) 미국 임상 3상 시험계획 승인)	Material Management Matter Related to Investment Decisions (U.S. Phase 3 Clinical Trial Authorization for CT-P44, a Darzalex Biosimilar)
투자판단관련주요경영사항 (CTP44(다잘렉스 바이오시밀러) 미국 임상 3상 시험계획 신청)	Material Management Matter Related to Investment Decisions (U.S. Phase 3 Clinical Trial Application for CT-P44, a Darzalex Biosimilar)
투자판단관련주요경영사항 (CTP44(다잘렉스 바이오시밀러) 유럽 임상 3상 시험계획 변경신청(Part1&2))	Material Management Matter Related to Investment Decisions (European Phase 3 Clinical Trial Amendment Application, Parts 1 and 2, for CT-P44, a Darzalex Biosimilar)
투자판단관련주요경영사항 (CTP44(다잘렉스 바이오시밀러) 유럽 임상 3상 시험계획 승인(Part2))	Material Management Matter Related to Investment Decisions (European Phase 3 Clinical Trial Authorization, Part 2, for CT-P44, a Darzalex Biosimilar)
투자판단관련주요경영사항 (CTP44(다잘렉스 바이오시밀러) 유럽 임상 3상 시험계획 신청(Part1))	Material Management Matter Related to Investment Decisions (European Phase 3 Clinical Trial Application, Part 1, for CT-P44, a Darzalex Biosimilar)
투자판단관련주요경영사항 (CTP44(다잘렉스 바이오시밀러) 유럽 임상 3상 시험계획 신청(Part2))	Material Management Matter Related to Investment Decisions (European Phase 3 Clinical Trial Application, Part 2, for CT-P44, a Darzalex Biosimilar)
투자판단관련주요경영사항 (CTP44(다잘렉스 바이오시밀러) 유럽 임상 3상 시험계획 심사통과 (Part1))	Material Management Matter Related to Investment Decisions (European Phase 3 Clinical Trial Review Clearance, Part 1, for CT-P44, a Darzalex Biosimilar)
투자판단관련주요경영사항 (CTP44(다잘렉스 바이오시밀러) 한국 임상 3상 시험계획 변경신청)	Material Management Matter Related to Investment Decisions (Korean Phase 3 Clinical Trial Amendment Application for CT-P44, a Darzalex Biosimilar)
투자판단관련주요경영사항 (CTP44(다잘렉스 바이오시밀러) 한국 임상 3상 시험계획 승인)	Material Management Matter Related to Investment Decisions (Korean Phase 3 Clinical Trial Authorization for CT-P44, a Darzalex Biosimilar)
투자판단관련주요경영사항 (CTP44(다잘렉스 바이오시밀러) 한국 임상 3상 시험계획 신청)	Material Management Matter Related to Investment Decisions (Korean Phase 3 Clinical Trial Application for CT-P44, a Darzalex Biosimilar)
투자판단관련주요경영사항 (CTP47(로악템라 바이오시밀러) 유럽의약품청(EMA) 산하 약물사용자문위원회(CHMP) 판매 승인 권고 획득)	Material Management Matter Related to Investment Decisions (CHMP Recommendation for Marketing Authorization of CT-P47, a RoActemra Biosimilar)
투자판단관련주요경영사항 (CTP51(키트루다 바이오시밀러) 미국 임상 3상 시험계획 변경신청)	Material Management Matter Related to Investment Decisions (U.S. Phase 3 Clinical Trial Amendment Application for CT-P51, a Keytruda Biosimilar)
투자판단관련주요경영사항 (CTP51(키트루다 바이오시밀러) 미국 임상 3상 시험계획 승인)	Material Management Matter Related to Investment Decisions (U.S. Phase 3 Clinical Trial Authorization for CT-P51, a Keytruda Biosimilar)
투자판단관련주요경영사항 (CTP51(키트루다 바이오시밀러) 유럽 임상 3상 시험계획 승인(Part1&2))	Material Management Matter Related to Investment Decisions (European Phase 3 Clinical Trial Authorization, Parts 1 and 2, for CT-P51, a Keytruda Biosimilar)
투자판단관련주요경영사항 (CTP51(키트루다 바이오시밀러) 유럽 임상 3상 시험계획 신청(Part 1&2))	Material Management Matter Related to Investment Decisions (European Phase 3 Clinical Trial Application, Parts 1 and 2, for CT-P51, a Keytruda Biosimilar)
투자판단관련주요경영사항 (CTP51(키트루다 바이오시밀러) 유럽 임상 3상 조기종료 및 시험계획 자진취하)	Material Management Matter Related to Investment Decisions (Early Termination of the European Phase 3 Clinical Trial and Voluntary Withdrawal of the Trial Application for CT-P51, a Keytruda Biosimilar)
투자판단관련주요경영사항 (CTP51(키트루다 바이오시밀러) 한국 임상 3상 시험계획 변경신청 승인)	Material Management Matter Related to Investment Decisions (Approval of a Korean Phase 3 Clinical Trial Amendment Application for CT-P51, a Keytruda Biosimilar)
